번호,발령일시,발령원,발령구분,재난종류,지역
166,2019-08-02 15:52,DMB인터페이스,DMB,폭염경보,"서천군,부천시,광명시,홍성군,시흥시,군포시"
167,2019-08-02 13:10,DMB인터페이스,DMB,폭염경보,"수원시,서울특별시,천안시,춘천시,여수시,원주시,제천시,아산시,성남시,홍천군,횡성군,계룡시,의정부시,영월군,안양시,정선군,음성군,강진군,청양군,해남군,화천군,영암군,예산군,무안군,평택시,진도군,고양시,과천시,구리시,남양주시,오산시,의왕시,하남시,용인시,이천시,안성시,양주시,여주군,화성시,광주시,포천시,가평군,양평군"
168,2019-08-02 8:04,DMB인터페이스,DMB,폭염경보,"담양군,남원시,구례군,보성군,진안군,화순군,장흥군,무주군,임실군,순창군,고창군,함평군,영광군,장성군,순천시"
169,2019-08-02 8:04,DMB인터페이스,DMB,폭염경보,"전주시,충주시,광양시,익산시,정읍시,완주군,진천군,증평군"
170,2019-08-01 11:06,DMB인터페이스,DMB,폭염경보,"공주시,대전광역시,세종특별자치시,논산시,문경시,금산군,부여군,괴산군,진주시,단양군,사천시,부산광역시,의령군,하동군,예천군"
171,2019-08-01 8:03,DMB인터페이스,DMB,폭염경보,"청주시,나주시,곡성군,보은군,옥천군,상주시,영동군,광주광역시,울산광역시,영양군,봉화군,울진군,안동시"
172,2019-07-31 13:10,DMB인터페이스,DMB,폭염경보,"제주특별자치도,울진군"
173,2019-07-31 8:58,DMB인터페이스,DMB,호우 경보,"안산시,남양주시"
174,2019-07-31 6:21,DMB인터페이스,DMB,호우 경보,옹진군
175,2019-07-30 10:54,DMB인터페이스,DMB,폭염경보,"김해시,밀양시,함안군,창녕군,양산시,산청군,함양군,합천군"
176,2019-07-30 8:07,DMB인터페이스,DMB,폭염경보,"동해시,김천시,구미시,삼척시,군위군,청도군,고령군,성주군,칠곡군"
177,2019-07-29 11:01,DMB인터페이스,DMB,폭염경보,"전주시,포항시,청주시,나주시,강릉시,경주시,광양시,공주시,대전광역시,익산시,속초시,정읍시,세종특별자치시,영천시,논산시,대구광역시,광주광역시,경산시,의성군,영덕군,고성군,양양군"
178,2019-07-28 1:42,DMB인터페이스,DMB,호우 경보,강화군
179,2019-07-27 23:45,DMB인터페이스,DMB,호우 경보,옹진군
180,2019-07-27 13:59,DMB인터페이스,DMB,호우 경보,제주특별자치도
181,2019-07-27 13:23,DMB인터페이스,DMB,홍수 주의보,"광양시,곡성군,구례군,남원시,순창군,하동군,순천시"
182,2019-07-27 10:22,DMB인터페이스,DMB,홍수 주의보,"정읍시,김제시,부안군"
183,2019-07-27 8:53,DMB인터페이스,DMB,호우 경보,"정읍시,순창군"
184,2019-07-26 13:00,DMB인터페이스,DMB,호우 경보,보령시
185,2019-07-26 12:44,DMB인터페이스,DMB,호우 경보,군산시
186,2019-07-26 9:23,DMB인터페이스,DMB,호우 경보,"춘천시,서산시,홍천군,태안군,양구군,당진군,평택시,오산시,이천시,안성시,여주군"
187,2019-07-26 7:17,DMB인터페이스,DMB,호우 경보,"중구,서울특별시,수원시,동구,연수구,남동구,성남시,부평구,계양구,서구,옹진군,의정부시,안양시,부천시,광명시,안산시,과천시,구리시,남양주시,시흥시,군포시,의왕시,하남시,용인시,화성시,광주시,가평군,양평군"
188,2019-07-26 6:51,DMB인터페이스,DMB,호우 경보,화천군
