기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,"종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",48,일본,"100,798.50","174,255.50","138,588","266,105","-127,517"
2020,"종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",48,중국,"705,205.20","318,193.60","366,666","511,055","-144,389"
2020,"인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",49,일본,"2,754.10","1,269.70","38,026","20,673","17,353"
2020,"인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",49,중국,911.3,"8,522.40","11,385","62,219","-50,834"
2020,견,50,일본,1.5,1.6,245,93,152
2020,견,50,중국,7.6,293.3,"1,123","19,258","-18,136"
2020,양모ㆍ동물의 부드러운 털이나 거친 털ㆍ말의 털로 만든 실과 직물,51,일본,115.6,85.2,"2,174","3,841","-1,666"
2020,양모ㆍ동물의 부드러운 털이나 거친 털ㆍ말의 털로 만든 실과 직물,51,중국,"1,288.30","4,185.90","20,540","71,126","-50,587"
2020,면,52,일본,"5,447.20",181.4,"11,667","6,443","5,224"
2020,면,52,중국,"4,194.20","27,724.20","26,572","132,515","-105,943"
2020,"그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물",53,일본,30.8,17.3,929,931,-1
2020,"그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물",53,중국,77.1,"9,303.00","1,568","54,427","-52,859"
2020,"인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",54,일본,"12,157.20","8,016.10","58,624","64,889","-6,265"
2020,"인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",54,중국,"28,803.90","236,293.50","252,049","436,204","-184,154"
2020,인조스테이플섬유,55,일본,"31,991.30","11,485.30","46,926","36,065","10,861"
2020,인조스테이플섬유,55,중국,"115,517.80","58,397.40","227,032","196,965","30,067"
2020,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",56,일본,"22,320.00","7,159.10","73,446","70,148","3,298"
2020,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",56,중국,"11,650.80","198,273.40","93,419","745,488","-652,069"
2020,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,57,일본,88.4,135.2,792,618,174
2020,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,57,중국,79.2,"26,001.60",561,"57,623","-57,063"
2020,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",58,일본,933.3,174.2,"7,636","6,504","1,133"
2020,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",58,중국,639.3,"6,369.00","26,800","36,433","-9,633"
2020,"침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품",59,일본,"4,970.90",446.7,"26,491","29,165","-2,673"
2020,"침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품",59,중국,"6,964.40","28,419.70","134,427","140,153","-5,726"
2020,메리야스 편물과 뜨개질 편물,60,일본,"1,954.80",297.9,"20,679","10,195","10,484"
2020,메리야스 편물과 뜨개질 편물,60,중국,"12,163.60","9,724.00","111,607","45,852","65,755"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질 편물에만 적용한다),61,일본,"6,115.20",158,"218,957","33,568","185,389"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질 편물에만 적용한다),61,중국,"9,024.40","72,799.60","109,842","1,093,582","-983,740"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),62,일본,"1,465.10",144.9,"83,813","32,682","51,131"
