기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201901,7210,1,22,129600000,20191017,2019-10-18 5:55
201901,7210,2,7,33500000,20191017,2019-10-18 5:55
201901,7220,1,2,16000000,20191017,2019-10-18 5:55
201901,2000,3,57,98550000,20191017,2019-10-18 5:55
201901,2010,3,91,162800000,20191017,2019-10-18 5:55
201901,2011,3,32,57200000,20191017,2019-10-18 5:55
201901,2020,3,43,74530000,20191017,2019-10-18 5:55
201901,2021,3,28,44830000,20191017,2019-10-18 5:55
201901,2030,3,84,140780000,20191017,2019-10-18 5:55
201901,2040,3,110,179910000,20191017,2019-10-18 5:55
201901,2050,3,51,93310000,20191017,2019-10-18 5:55
201901,2060,3,79,133220000,20191017,2019-10-18 5:55
201901,2070,3,21,39000000,20191017,2019-10-18 5:55
201901,2110,3,2,1500000,20191017,2019-10-18 5:55
201901,2130,3,6,9000000,20191017,2019-10-18 5:55
201901,2140,3,10,19000000,20191017,2019-10-18 5:55
201901,2150,3,4,8000000,20191017,2019-10-18 5:55
201901,3000,3,48,70010000,20191017,2019-10-18 5:55
201901,3001,3,52,95100000,20191017,2019-10-18 5:55
201901,3010,3,34,54650000,20191017,2019-10-18 5:55
201901,3020,3,45,77810000,20191017,2019-10-18 5:55
201901,3110,3,36,62210000,20191017,2019-10-18 5:55
201901,3120,3,40,70400000,20191017,2019-10-18 5:55
201901,3130,3,45,83850000,20191017,2019-10-18 5:55
201901,3140,3,7,13000000,20191017,2019-10-18 5:55
201901,3150,3,34,68000000,20191017,2019-10-18 5:55
201901,4000,3,64,105060000,20191017,2019-10-18 5:55
201901,4001,3,18,31500000,20191017,2019-10-18 5:55
201901,4020,3,15,28150000,20191017,2019-10-18 5:55
201901,4030,3,18,32700000,20191017,2019-10-18 5:55
201901,4110,3,29,49990000,20191017,2019-10-18 5:55
201901,4120,3,7,11000000,20191017,2019-10-18 5:55
201901,4130,3,3,5800000,20191017,2019-10-18 5:55
201901,4140,3,2,1850000,20191017,2019-10-18 5:55
201901,5000,3,111,202140000,20191017,2019-10-18 5:55
201901,5010,3,42,72700000,20191017,2019-10-18 5:55
201901,5110,3,54,100100000,20191017,2019-10-18 5:55
201901,5120,3,22,41700000,20191017,2019-10-18 5:55
201901,5130,3,31,52860000,20191017,2019-10-18 5:55
